Problem:    
Rows:       230
Columns:    660 (660 integer, 0 binary)
Non-zeros:  1400
Status:     INTEGER OPTIMAL
Objective:  obj = 4676 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
   278 f_1_38_35    *              0             0           500 
   279 f_1_35_36    *              0             0            50 
   280 f_1_36_37    *              0             0           500 
   281 f_1_37_38    *              0             0            50 
   282 f_1_39_40    *              0             0            50 
   283 f_2_0_1      *              0             0             = 
   284 f_2_22_1     *              0             0           500 
   285 f_2_40_1     *              0             0           500 
   286 f_2_1_2      *              0             0            50 
   287 f_2_2_21     *              0             0           500 
   288 f_2_2_39     *              0             0           500 
   289 f_2_0_3      *              0             0             = 
   290 f_2_6_3      *              0             0           500 
   291 f_2_18_3     *              0             0           500 
   292 f_2_26_3     *              0             0           500 
   293 f_2_32_3     *              0             0           500 
   294 f_2_34_3     *              0             0           500 
   295 f_2_36_3     *              0             0           500 
   296 f_2_3_4      *              0             0            50 
   297 f_2_4_5      *              0             0           500 
   298 f_2_4_17     *              0             0           500 
   299 f_2_4_25     *              0             0           500 
   300 f_2_4_31     *              0             0           500 
   301 f_2_4_33     *              0             0           500 
   302 f_2_4_35     *              0             0           500 
   303 f_2_8_5      *              0             0           500 
   304 f_2_32_5     *              0             0           500 
   305 f_2_5_6      *              0             0            50 
   306 f_2_6_7      *              0             0           500 
   307 f_2_6_31     *              0             0           500 
   308 f_2_0_7      *              0             0             = 
   309 f_2_32_7     *              0             0           500 
   310 f_2_7_8      *              0             0            50 
   311 f_2_8_31     *              0             0           500 
   312 f_2_0_9      *              0             0             = 
   313 f_2_14_9     *              0             0           500 
   314 f_2_20_9     *              0             0           500 
   315 f_2_9_10     *              0             0            50 
   316 f_2_10_13    *              0             0           500 
   317 f_2_10_19    *              0             0           500 
   318 f_2_24_11    *              0             0           500 
   319 f_2_28_11    *              0             0           500 
   320 f_2_30_11    *              0             0           500 
   321 f_2_36_11    *              0             0           500 
   322 f_2_11_12    *              0             0            50 
   323 f_2_12_23    *              0             0           500 
   324 f_2_12_27    *              0             0           500 
   325 f_2_12_29    *              0             0           500 
   326 f_2_12_35    *              0             0           500 
